ID_compra,ID_cliente,cidade,uf,regiao,idade,sexo_biologico,cashback,avaliacao_compra
904,8972,Natal,Rio Grande do Norte,Nordeste,49,Masculino,Não,9
4613,5120,São Paulo,São Paulo,Sudeste,49,Feminino,Não,9
5579,1847,São Paulo,São Paulo,Sudeste,24,Feminino,Não,8
2405,2846,São Paulo,São Paulo,Sudeste,38,Feminino,Sim,7
2485,2715,Salvador,Bahia,Nordeste,30,Feminino,Não,10
756,9555,João Pessoa,Paraíba,Nordeste,46,Feminino,Não,7
3020,3793,Brasília,Distrito Federal,Centro-Oeste,32,Masculino,Sim,9
2390,4903,São Paulo,São Paulo,Sudeste,26,Masculino,Não,9
3957,3413,Salvador,Bahia,Nordeste,30,Feminino,Não,10
5142,3556,Salvador,Bahia,Nordeste,28,Feminino,Não,8
4696,3927,Belo Horizonte,Minas Gerais,Sudeste,25,Feminino,Não,7
5890,6238,São Paulo,São Paulo,Sudeste,31,Masculino,Sim,10
1903,7418,São Paulo,São Paulo,Sudeste,40,Feminino,Não,9
3116,9946,São Paulo,São Paulo,Sudeste,40,Masculino,Não,8
5,9491,São Paulo,São Paulo,Sudeste,36,Masculino,Sim,8
3047,5611,Porto Alegre,Rio Grande do Sul,Sul,50,Feminino,Não,7
1393,9042,João Pessoa,Paraíba,Nordeste,25,Masculino,Não,10
2602,3552,Brasília,Distrito Federal,Centro-Oeste,44,Masculino,Não,10
2064,7165,Curitiba,Paraná,Sul,50,Feminino,Não,8
1462,9413,São Paulo,São Paulo,Sudeste,52,Masculino,Não,9
2805,1435,São Paulo,São Paulo,Sudeste,51,Feminino,Não,9
982,2760,São Paulo,São Paulo,Sudeste,22,Feminino,Sim,9
2198,4594,São Paulo,São Paulo,Sudeste,37,Masculino,Não,7
4833,4354,Belo Horizonte,Minas Gerais,Sudeste,38,Masculino,Sim,9
3058,6519,São Paulo,São Paulo,Sudeste,33,Feminino,Não,7
458,3325,Salvador,Bahia,Nordeste,45,Masculino,Não,6
1979,1116,São Paulo,São Paulo,Sudeste,19,Masculino,Não,9
3730,7929,Campinas,São Paulo,Sudeste,32,Feminino,Sim,9
3553,7765,Campinas,São Paulo,Sudeste,25,Feminino,Não,9
2063,6956,São Paulo,São Paulo,Sudeste,26,Masculino,Sim,9
516,7848,Campinas,São Paulo,Sudeste,34,Feminino,Sim,4
5454,7048,São Paulo,São Paulo,Sudeste,48,Feminino,Não,9
909,8880,Natal,Rio Grande do Norte,Nordeste,18,Feminino,Sim,8
1565,7483,Campinas,São Paulo,Sudeste,40,Masculino,Sim,9
5829,7968,São Paulo,São Paulo,Sudeste,19,Masculino,Sim,9
5677,1941,São Paulo,São Paulo,Sudeste,48,Feminino,Não,9
4018,3567,Salvador,Bahia,Nordeste,40,Feminino,Sim,7
3845,8827,Curitiba,Paraná,Sul,37,Feminino,Não,9
2309,4842,São Paulo,São Paulo,Sudeste,41,Masculino,Não,10
4553,1308,São Paulo,São Paulo,Sudeste,38,Feminino,Sim,9
157,4158,Brasília,Distrito Federal,Centro-Oeste,27,Feminino,Não,9
4058,5880,Porto Alegre,Rio Grande do Sul,Sul,46,Masculino,Não,9
961,3328,Brasília,Distrito Federal,Centro-Oeste,42,Feminino,Não,9
4775,9161,São Paulo,São Paulo,Sudeste,42,Feminino,Não,9
5229,3509,São Paulo,São Paulo,Sudeste,31,Masculino,Sim,10
46,7791,São Paulo,São Paulo,Sudeste,51,Feminino,Não,10
4261,7775,São Paulo,São Paulo,Sudeste,31,Feminino,Sim,8
1560,4376,Brasília,Distrito Federal,Centro-Oeste,56,Masculino,Não,10
5028,8914,Natal,Rio Grande do Norte,Nordeste,26,Feminino,Sim,10
1862,1860,São Paulo,São Paulo,Sudeste,42,Feminino,Não,7
4156,5704,Porto Alegre,Rio Grande do Sul,Sul,24,Feminino,Sim,9
1498,6294,São Paulo,São Paulo,Sudeste,41,Feminino,Não,10
2878,9422,João Pessoa,Paraíba,Nordeste,44,Feminino,Não,9
1691,9518,Recife,Pernambuco,Nordeste,40,Feminino,Sim,7
3106,4023,Belo Horizonte,Minas Gerais,Sudeste,27,Feminino,Não,10
536,5454,Fortaleza,Ceará,Nordeste,22,Masculino,Não,8
3874,5334,São Paulo,São Paulo,Sudeste,54,Masculino,Não,8
639,4636,São Paulo,São Paulo,Sudeste,36,Feminino,Sim,9
3217,1028,São Paulo,São Paulo,Sudeste,42,Feminino,Não,9
990,5267,São Paulo,São Paulo,Sudeste,49,Masculino,Não,8
1182,1804,São Paulo,São Paulo,Sudeste,46,Masculino,Não,9
608,3029,Salvador,Bahia,Nordeste,30,Feminino,Sim,10
4709,2258,Recife,Pernambuco,Nordeste,61,Masculino,Não,9
1961,1876,São Paulo,São Paulo,Sudeste,44,Feminino,Não,10
4958,5354,Rio de Janeiro,Rio de Janeiro,Sudeste,28,Feminino,Sim,7
5576,7310,São Paulo,São Paulo,Sudeste,36,Masculino,Sim,8
5711,9562,João Pessoa,Paraíba,Nordeste,40,Feminino,Sim,10
4687,6919,São Paulo,São Paulo,Sudeste,31,Feminino,Sim,9
4839,9794,São Paulo,São Paulo,Sudeste,41,Feminino,Não,9
3416,5015,Rio de Janeiro,Rio de Janeiro,Sudeste,33,Feminino,Não,9
4352,5812,Fortaleza,Ceará,Nordeste,43,Masculino,Não,10
164,7516,São Paulo,São Paulo,Sudeste,55,Masculino,Não,9
4339,2364,São Paulo,São Paulo,Sudeste,31,Masculino,Sim,9
2604,2673,Salvador,Bahia,Nordeste,34,Masculino,Sim,9
4834,6114,São Paulo,São Paulo,Sudeste,42,Feminino,Não,9
119,7813,Santo André,São Paulo,Sudeste,50,Masculino,Não,7
4433,7870,Curitiba,Paraná,Sul,35,Masculino,Sim,7
1309,5563,São Paulo,São Paulo,Sudeste,61,Masculino,Não,10
350,9907,Recife,Pernambuco,Nordeste,28,Masculino,Sim,10
2593,3127,São Paulo,São Paulo,Sudeste,18,Masculino,Sim,10
4,9679,Recife,Pernambuco,Nordeste,35,Masculino,Sim,9
138,1809,São Paulo,São Paulo,Sudeste,39,Masculino,Sim,10
3947,8598,São Paulo,São Paulo,Sudeste,36,Masculino,Sim,9
5114,1657,São Paulo,São Paulo,Sudeste,27,Feminino,Não,7
2254,6848,Fortaleza,Ceará,Nordeste,47,Feminino,Não,9
3517,3251,Salvador,Bahia,Nordeste,33,Feminino,Sim,7
427,4209,São Paulo,São Paulo,Sudeste,41,Feminino,Não,10
3500,7832,São Paulo,São Paulo,Sudeste,40,Feminino,Não,8
1103,8517,Natal,Rio Grande do Norte,Nordeste,55,Feminino,Não,9
2841,1377,São Paulo,São Paulo,Sudeste,35,Feminino,Sim,9
865,4247,Brasília,Distrito Federal,Centro-Oeste,28,Masculino,Não,10
1837,8349,São Paulo,São Paulo,Sudeste,35,Masculino,Sim,9
3371,3931,Belo Horizonte,Minas Gerais,Sudeste,55,Feminino,Não,10
390,3821,Belo Horizonte,Minas Gerais,Sudeste,47,Feminino,Não,10
3956,3828,São Paulo,São Paulo,Sudeste,41,Feminino,Não,8
1487,9791,João Pessoa,Paraíba,Nordeste,44,Masculino,Não,8
4772,9501,São Paulo,São Paulo,Sudeste,37,Masculino,Não,8
1029,5217,Rio de Janeiro,Rio de Janeiro,Sudeste,51,Feminino,Não,10
4634,1916,São Paulo,São Paulo,Sudeste,38,Feminino,Sim,8
5347,2473,São Paulo,São Paulo,Sudeste,41,Masculino,Não,8
5234,2153,São Paulo,São Paulo,Sudeste,38,Feminino,Sim,10
5314,3596,Belo Horizonte,Minas Gerais,Sudeste,55,Masculino,Não,10
5417,3325,Salvador,Bahia,Nordeste,45,Masculino,Não,9
945,6222,São Paulo,São Paulo,Sudeste,46,Masculino,Não,8
5674,9513,Recife,Pernambuco,Nordeste,40,Masculino,Sim,8
4930,6774,São Paulo,São Paulo,Sudeste,64,Feminino,Não,9
621,9457,São Paulo,São Paulo,Sudeste,21,Feminino,Não,9
4188,2206,São Paulo,São Paulo,Sudeste,35,Feminino,Não,9
5211,3307,São Paulo,São Paulo,Sudeste,41,Masculino,Não,7
1426,3224,Salvador,Bahia,Nordeste,35,Feminino,Não,7
5054,7949,Campinas,São Paulo,Sudeste,64,Feminino,Não,9
5782,3578,São Paulo,São Paulo,Sudeste,58,Masculino,Não,9
4815,9841,Recife,Pernambuco,Nordeste,39,Feminino,Sim,9
127,5247,Rio de Janeiro,Rio de Janeiro,Sudeste,47,Masculino,Não,10
2575,5455,Rio de Janeiro,Rio de Janeiro,Sudeste,43,Masculino,Não,9
5592,9351,Recife,Pernambuco,Nordeste,28,Masculino,Sim,10
5125,4475,Rio de Janeiro,Rio de Janeiro,Sudeste,49,Feminino,Não,9
5090,5872,Rio de Janeiro,Rio de Janeiro,Sudeste,30,Masculino,Sim,10
6104,1101,Rio de Janeiro,Rio de Janeiro,Sudeste,38,Feminino,Não,9
2168,8591,Natal,Rio Grande do Norte,Nordeste,27,Feminino,Sim,9
1604,9214,Rio de Janeiro,Rio de Janeiro,Sudeste,43,Feminino,Não,8
5252,1414,São Paulo,São Paulo,Sudeste,50,Feminino,Não,9
2623,6634,Fortaleza,Ceará,Nordeste,28,Masculino,Não,10
4039,1644,Rio de Janeiro,Rio de Janeiro,Sudeste,42,Masculino,Não,8
3982,4789,Rio de Janeiro,Rio de Janeiro,Sudeste,37,Feminino,Sim,10
3928,1737,São Paulo,São Paulo,Sudeste,36,Feminino,Sim,9
1689,6139,Porto Alegre,Rio Grande do Sul,Sul,41,Masculino,Não,8
1319,9158,Rio de Janeiro,Rio de Janeiro,Sudeste,41,Masculino,Não,10
3402,9121,João Pessoa,Paraíba,Nordeste,31,Masculino,Sim,8
435,8253,Natal,Rio Grande do Norte,Nordeste,38,Masculino,Sim,7
1148,3968,Brasília,Distrito Federal,Centro-Oeste,31,Feminino,Não,8
4260,4963,Rio de Janeiro,Rio de Janeiro,Sudeste,28,Feminino,Não,7
2230,2058,Recife,Pernambuco,Nordeste,29,Masculino,Sim,9
2665,2034,Rio de Janeiro,Rio de Janeiro,Sudeste,39,Feminino,Sim,10
3210,5609,Porto Alegre,Rio Grande do Sul,Sul,31,Feminino,Não,7
5744,7040,Rio de Janeiro,Rio de Janeiro,Sudeste,37,Masculino,Sim,6
2862,6667,Rio de Janeiro,Rio de Janeiro,Sudeste,34,Masculino,Sim,10
5320,8465,Curitiba,Paraná,Sul,41,Masculino,Não,0
4845,5396,Rio de Janeiro,Rio de Janeiro,Sudeste,24,Feminino,Sim,5
5415,3742,Rio de Janeiro,Rio de Janeiro,Sudeste,51,Feminino,Não,8
902,6161,Porto Alegre,Rio Grande do Sul,Sul,39,Feminino,Sim,10
5983,4865,Brasília,Distrito Federal,Centro-Oeste,32,Feminino,Não,9
3745,4678,Brasília,Distrito Federal,Centro-Oeste,27,Masculino,Sim,6
899,6927,Rio de Janeiro,Rio de Janeiro,Sudeste,39,Feminino,Sim,9
6020,2729,Rio de Janeiro,Rio de Janeiro,Sudeste,30,Masculino,Sim,7
3792,4697,Rio de Janeiro,Rio de Janeiro,Sudeste,36,Feminino,Não,9
4652,5229,Fortaleza,Ceará,Nordeste,27,Masculino,Não,3
