Id,area_primeiro_andar,existe_segundo_andar,area_segundo_andar,quantidade_banheiros,capacidade_carros_garagem,qualidade_da_cozinha_Excelente,preco_de_venda
1,79.52239999999999,1,79.33659999999999,2,548,0,1027905.0
2,117.2398,0,0.0,2,460,0,894795.0
3,85.468,1,80.45139999999999,2,608,0,1101855.0
4,89.2769,1,70.2324,1,642,0,690200.0
5,106.3705,1,97.8237,2,836,0,1232500.0
6,73.94839999999999,1,52.5814,1,480,0,704990.0
7,157.3726,0,0.0,2,636,0,1513510.0
8,102.8403,1,91.3207,2,484,0,986000.0
9,94.9438,1,69.8608,2,468,0,640407.0
10,100.0533,0,0.0,1,205,0,581740.0
11,96.616,0,0.0,1,384,0,638435.0
12,109.8078,1,106.0918,3,736,1,1700850.0
13,84.7248,0,0.0,1,352,0,709920.0
14,138.7926,0,0.0,2,840,0,1377935.0
15,116.4037,0,0.0,1,352,0,774010.0
16,79.33659999999999,0,0.0,1,576,0,650760.0
17,93.2716,0,0.0,1,480,0,734570.0
18,120.3984,0,0.0,2,516,0,443700.0
19,103.4906,0,0.0,1,576,0,783870.0
20,124.3931,0,0.0,1,294,0,685270.0
21,107.5782,1,113.1522,3,853,0,1603729.0
22,102.9332,0,0.0,1,280,0,687242.0
23,166.75549999999998,0,0.0,2,534,0,1133900.0
24,98.474,0,0.0,1,572,0,640407.0
25,98.474,0,0.0,1,270,0,759220.0
26,148.64,0,0.0,2,890,0,1263559.0
27,83.61,0,0.0,1,576,0,664564.0
28,158.3016,0,0.0,2,772,0,1508580.0
29,148.64,0,0.0,1,319,0,1022975.0
30,48.308,0,0.0,1,240,0,337705.0
31,60.2921,1,62.0572,1,250,0,197200.0
32,114.0812,0,0.0,1,271,0,736295.5
33,114.6386,0,0.0,2,484,0,886907.0
34,157.93,0,0.0,1,447,0,815915.0
35,145.0169,0,0.0,2,556,1,1368075.0
36,105.1628,1,122.628,3,691,0,1523370.0
37,101.9113,0,0.0,1,672,0,714850.0
